0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1867,5060,58094,78471,141018,182399,293379,319438,310908,350390,357799,348121,327388,321752,321752,329083,335572,335572,335572,335572,335572,335572,335572,335572,335572,329083,321752,321752,327388,348121,357799,350390,310908,319438,293379,182399,141018,78471,58094,5060,1867,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1754,1801,5254,58094,78471,141018,162558,246868,316285,293252,332022,363225,357799,348121,342369,342369,321752,329083,329083,329083,329083,329083,329083,329083,329083,329083,321752,342369,342369,348121,357799,363225,332022,293252,316285,246868,162558,141018,78471,58094,5254,1801,1754,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1658,1890,5254,58094,77605,146603,162558,246868,314807,293252,310908,350390,363225,348121,327388,327388,342369,321752,321752,321752,321752,321752,321752,321752,321752,321752,342369,327388,327388,348121,363225,350390,310908,293252,314807,246868,162558,146603,77605,58094,5254,1890,1658,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1653,1893,5254,58094,77605,146603,138755,209108,314807,319438,310908,332022,363225,357799,348121,348121,327388,342369,342369,342369,342369,342369,342369,342369,342369,342369,327388,348121,348121,357799,363225,332022,310908,319438,314807,209108,138755,146603,77605,58094,5254,1893,1653,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1610,1966,5254,25829,64925,122350,127248,182399,293379,316285,293252,310908,350390,363225,357799,357799,348121,327388,327388,327388,327388,327388,327388,327388,327388,327388,348121,357799,357799,363225,350390,310908,293252,316285,293379,182399,127248,122350,64925,25829,5254,1966,1610,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1677,1893,5060,25829,60649,111875,127248,182399,246868,314807,319438,293252,332022,350390,363225,363225,357799,348121,348121,348121,348121,348121,348121,348121,348121,348121,357799,363225,363225,350390,332022,293252,319438,314807,246868,182399,127248,111875,60649,25829,5060,1893,1677,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1677,1893,4543,23841,60649,87161,141018,162558,209108,293379,316285,293252,310908,332022,350390,350390,363225,357799,357799,357799,357799,357799,357799,357799,357799,357799,363225,350390,350390,332022,310908,293252,316285,293379,209108,162558,141018,87161,60649,23841,4543,1893,1677,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1610,1801,3971,8331,60533,78471,146603,138755,182399,246868,314807,319438,293252,310908,332022,350390,350390,363225,363225,363225,363225,363225,363225,363225,363225,363225,350390,350390,332022,310908,293252,319438,314807,246868,182399,138755,146603,78471,60533,8331,3971,1801,1610,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1664,1827,3755,7539,59963,77605,122350,127248,162558,209108,293379,316285,319438,293252,310908,332022,332022,350390,350390,350390,350390,350390,350390,350390,350390,350390,332022,332022,310908,293252,319438,316285,293379,209108,162558,127248,122350,77605,59963,7539,3755,1827,1664,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1670,1867,3736,6520,58965,64925,111875,141018,138755,182399,246868,314807,316285,319438,293252,310908,310908,332022,332022,332022,332022,332022,332022,332022,332022,332022,310908,310908,293252,319438,316285,314807,246868,182399,138755,141018,111875,64925,58965,6520,3736,1867,1670,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1658,1827,2469,5768,25829,60649,87161,146603,127248,162558,209108,293379,314807,316285,319438,293252,293252,310908,310908,310908,310908,310908,310908,310908,310908,310908,293252,293252,319438,316285,314807,293379,209108,162558,127248,146603,87161,60649,25829,5768,2469,1827,1658,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1680,1787,2189,5472,23841,60533,77605,111875,141018,138755,182399,246868,293379,314807,316285,319438,319438,293252,293252,293252,293252,293252,293252,293252,293252,293252,319438,319438,316285,314807,293379,246868,182399,138755,141018,111875,77605,60533,23841,5472,2189,1787,1680,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1757,1787,1973,5060,7539,59963,64925,87161,146603,127248,162558,182399,246868,293379,314807,316285,316285,319438,319438,319438,319438,319438,319438,319438,319438,319438,316285,316285,314807,293379,246868,182399,162558,127248,146603,87161,64925,59963,7539,5060,1973,1787,1757,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1773,1966,3971,6558,58094,60649,78471,122350,141018,138755,162558,209108,246868,293379,314807,314807,316285,316285,316285,316285,316285,316285,316285,316285,316285,314807,314807,293379,246868,209108,162558,138755,141018,122350,78471,60649,58094,6558,3971,1966,1773,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1842,1890,3736,5768,23841,60533,77605,111875,146603,127248,138755,182399,209108,246868,246868,293379,314807,314807,314807,314807,314807,314807,314807,314807,314807,293379,246868,246868,209108,182399,138755,127248,146603,111875,77605,60533,23841,5768,3736,1890,1842,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1542,1784,2469,5254,8331,58965,64925,87161,122350,141018,127248,162558,182399,209108,209108,246868,293379,293379,293379,293379,293379,293379,293379,293379,293379,246868,209108,209108,182399,162558,127248,141018,122350,87161,64925,58965,8331,5254,2469,1784,1542,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1610,1827,2009,5060,6558,58094,60533,77605,87161,146603,141018,138755,162558,182399,182399,209108,246868,246868,246868,246868,246868,246868,246868,246868,246868,209108,182399,182399,162558,138755,141018,146603,87161,77605,60533,58094,6558,5060,2009,1827,1610,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1653,1858,1973,3971,6520,25829,59963,64925,78471,122350,146603,127248,138755,162558,162558,182399,209108,209108,209108,209108,209108,209108,209108,209108,209108,182399,162558,162558,138755,127248,146603,122350,78471,64925,59963,25829,6520,3971,1973,1858,1653,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1754,1801,1893,3736,5472,8331,58965,60533,77605,87161,122350,141018,141018,138755,138755,162558,182399,182399,182399,182399,182399,182399,182399,182399,182399,162558,138755,138755,141018,141018,122350,87161,77605,60533,58965,8331,5472,3736,1893,1801,1754,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1781,1831,1827,2189,5060,6558,25829,59963,64925,78471,111875,122350,146603,127248,127248,138755,162558,162558,162558,162558,162558,162558,162558,162558,162558,138755,127248,127248,146603,122350,111875,78471,64925,59963,25829,6558,5060,2189,1827,1831,1781,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1542,1827,2009,3971,6520,23841,58965,60649,77605,87161,111875,122350,141018,141018,127248,138755,138755,138755,138755,138755,138755,138755,138755,138755,127248,141018,141018,122350,111875,87161,77605,60649,58965,23841,6520,3971,2009,1827,1542,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1781,1664,1801,1970,3736,5472,7539,25829,59963,60649,77605,87161,111875,122350,146603,141018,127248,127248,127248,127248,127248,127248,127248,127248,127248,141018,146603,122350,111875,87161,77605,60649,59963,25829,7539,5472,3736,1970,1801,1664,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
