time (Julian Date),wavelength (nm),irradiance (W/m^2/nm),measurement_stability (W/m^2/nm),measurement_precision (W/m^2/nm),instrument_uncertainty (W/m^2/nm),quality (Bit Flag)
2458192.0,623.406,1.66695586,1.7826609837356955E-4,1.0981989180436358E-4,0.0039843302220106125,0
2458192.0,624.943,1.66254486,1.7778800975065678E-4,1.0938512423308566E-4,0.003973694518208504,0
2458192.0,626.490,1.65861285,1.7735183064360172E-4,1.0893344006035477E-4,0.003964653238654137,0
2458192.0,628.042,1.65464342,1.7690194363240153E-4,1.0834855493158102E-4,0.003954590298235416,0
2458192.0,629.612,1.64980414,1.7631550144869834E-4,1.0754643881227821E-4,0.003942444454878569,0
2458192.0,631.193,1.64421947,1.7407425912097096E-4,1.0683514847187325E-4,0.003929902333766222,0
2458192.0,632.776,1.63880124,1.6737243277020752E-4,1.064534080796875E-4,0.003917201422154903,0
2458192.0,634.375,1.63388114,1.6089975542854518E-4,1.0592018224997446E-4,0.0039042236749082804,0
2458192.0,635.990,1.62881479,1.5484046889469028E-4,1.0519561328692362E-4,0.0038915250916033983,0
2458192.0,637.602,1.6230154,1.541231613373384E-4,1.0434022260596976E-4,0.003878793679177761,0
2458192.0,639.236,1.61686793,1.5562969201710075E-4,1.0361483145970851E-4,0.003864620579406619,0
2458192.0,640.876,1.6107194,1.6026182856876403E-4,1.0309114441042766E-4,0.003850428620353341,0
2458192.0,642.519,1.6050214,1.5726155834272504E-4,1.0233413922833279E-4,0.003836143994703889,0
2458192.0,644.177,1.59659945,1.5240548236761242E-4,1.0141734674107283E-4,0.003816824872046709,0
2458192.0,645.849,1.58709799,1.5637684555258602E-4,1.0066100367112085E-4,0.003793451003730297,0
2458192.0,647.531,1.57765122,1.5347651788033545E-4,9.968587983166799E-5,0.003770133014768362,0
2458192.0,649.230,1.56827682,1.4285747602116317E-4,9.846919419942424E-5,0.003747561713680625,0
2458192.0,650.926,1.55913529,1.402366760885343E-4,9.73983624135144E-5,0.0037263392005115747,0
2458192.0,652.644,1.55074087,1.3855220458935946E-4,9.653965389588848E-5,0.003705906681716442,0
2458192.0,654.365,1.54288718,1.3426276564132422E-4,9.595535811968148E-5,0.003687395481392741,0
2458192.0,656.120,1.53574319,1.3204572314862162E-4,9.507000504527241E-5,0.0036717995535582304,0
2458192.0,657.866,1.53203751,1.3167430006433278E-4,9.436449909117073E-5,0.0036634188145399094,0
2458192.0,659.618,1.53166902,1.3160004164092243E-4,9.508096263743937E-5,0.00366140971891582,0
2458192.0,661.394,1.53133879,1.3155187480151653E-4,9.553156269248575E-5,0.0036609808448702097,0
2458192.0,663.183,1.53101353,1.3149746519047767E-4,9.519885497866198E-5,0.003660272341221571,0
2458192.0,664.977,1.53015681,1.3140989176463336E-4,9.487738861935213E-5,0.0036581470631062984,0
2458192.0,666.779,1.52908032,1.3129485887475312E-4,9.459783177589998E-5,0.0036552997771650553,0
2458192.0,668.609,1.52771877,1.311520318267867E-4,9.426181350136176E-5,0.0036515609826892614,0
2458192.0,670.431,1.52576727,1.3094650057610124E-4,9.382139978697523E-5,0.0036465092562139034,0
2458192.0,672.273,1.5215429,1.3057324395049363E-4,9.323838457930833E-5,0.003637131303548813,0
2458192.0,674.128,1.51579771,1.3006458175368607E-4,9.27438450162299E-5,0.003623165190219879,0
2458192.0,675.994,1.50953916,1.295075344387442E-4,9.22530161915347E-5,0.0036082554142922163,0
2458192.0,677.893,1.5031525,1.2893308303318918E-4,9.167884127236903E-5,0.0035930131562054157,0
2458192.0,679.779,1.49673643,1.2836074165534228E-4,9.106216748477891E-5,0.0035779078025370836,0
2458192.0,681.686,1.49020846,1.27879306091927E-4,9.038157440954819E-5,0.003562198020517826,0
2458192.0,683.606,1.48349194,1.3053797010798007E-4,8.952779171522707E-5,0.003546023741364479,0
2458192.0,685.531,1.47675919,1.2972480908501893E-4,8.866975986165926E-5,0.003529979381710291,0
2458192.0,687.476,1.46977372,1.2157081800978631E-4,8.779340714681894E-5,0.003513295901939273,0
2458192.0,689.441,1.46243529,1.1832723248517141E-4,8.662549225846305E-5,0.0034955746959894896,0
2458192.0,691.413,1.4549175,1.1765631643356755E-4,8.53535530040972E-5,0.0034776772372424603,0
2458192.0,693.386,1.4473121,1.1704342614393681E-4,8.427454304182902E-5,0.003459779778495431,0
2458192.0,695.390,1.43980439,1.1642077879514545E-4,8.329480624524876E-5,0.0034414345864206553,0
2458192.0,697.398,1.43223946,1.156147409346886E-4,8.238069858634844E-5,0.0034231175668537617,0
2458192.0,699.430,1.42452734,1.0912966536125168E-4,8.135544339893386E-5,0.003404822899028659,0
2458192.0,701.466,1.41685171,1.0263585136272013E-4,8.038035593926907E-5,0.00338675151579082,0
2458192.0,703.514,1.40923086,1.0186072177020833E-4,7.961632218211889E-5,0.003368586301803589,0
2458192.0,705.574,1.40170433,1.0134303011000156E-4,7.885655213613063E-5,0.003350071609020233,0
2458192.0,707.658,1.39397783,1.00773322628811E-4,7.806791109032929E-5,0.0033314567990601063,0
2458192.0,709.751,1.38603692,1.0045719682238996E-4,7.73151550674811E-5,0.003312976798042655,0
2458192.0,711.860,1.37819061,1.001756390905939E-4,7.65741424402222E-5,0.003294385503977537,0
2458192.0,713.970,1.3703602,9.989570389734581E-5,7.584075501654297E-5,0.0032759313471615314,0
2458192.0,716.105,1.36256181,9.961925388779491E-5,7.510861905757338E-5,0.0032574946526437998,0
2458192.0,718.276,1.35488695,9.934828267432749E-5,7.437993190251291E-5,0.00323891150765121,0
2458192.0,720.428,1.34752435,9.910162771120667E-5,7.367690704995766E-5,0.0032210524659603834,0
2458192.0,722.605,1.34046059,9.886954649118707E-5,7.29852108634077E-5,0.0032041168306022882,0
2458192.0,724.795,1.33342412,9.864327148534358E-5,7.229839684441686E-5,0.003187407273799181,0
2458192.0,727.011,1.32628247,9.84126963885501E-5,7.160587847465649E-5,0.0031703475397080183,0
2458192.0,729.217,1.3191898,9.81824632617645E-5,7.092294981703162E-5,0.0031537022441625595,0
2458192.0,731.470,1.3122246,9.796242375159636E-5,7.024026126600802E-5,0.003137212712317705,0
2458192.0,733.724,1.30543724,9.775493526831269E-5,6.957130972296E-5,0.0031211362220346928,0
2458192.0,735.991,1.29865446,9.754587517818436E-5,6.890344229759648E-5,0.003104743082076311,0
2458192.0,738.270,1.29180853,9.733406477607787E-5,6.823423609603196E-5,0.003087991615757346,0
2458192.0,740.571,1.28497091,9.71266272244975E-5,6.756869697710499E-5,0.0030717430636286736,0
2458192.0,742.880,1.27864178,9.695242624729872E-5,6.692922033835202E-5,0.0030563657637685537,0
2458192.0,745.208,1.2727718,9.681424853624776E-5,6.63121827528812E-5,0.003041858086362481,0
2458192.0,747.555,1.26678786,9.666480764281005E-5,6.568786920979619E-5,0.0030277071055024862,0
2458192.0,749.917,1.26037583,9.64881110121496E-5,6.50499205221422E-5,0.003013170789927244,0
2458192.0,752.289,1.2540836,9.631620196159929E-5,6.441496225306764E-5,0.0029980167746543884,0
2458192.0,754.670,1.24785155,9.615009184926748E-5,6.378520629368722E-5,0.0029829598497599363,0
2458192.0,757.088,1.24145283,9.597379539627582E-5,6.314603524515405E-5,0.0029675145633518696,0
2458192.0,759.504,1.23486347,9.577868331689388E-5,6.249922444112599E-5,0.0029514036141335964,0
2458192.0,761.950,1.22790848,9.556081204209477E-5,6.183037476148456E-5,0.002934844931587577,0
2458192.0,764.401,1.22085624,9.532622789265588E-5,6.118856254033744E-5,0.0029182923026382923,0
2458192.0,766.872,1.21382788,9.491016680840403E-5,6.077064972487278E-5,0.002901760395616293,0
2458192.0,769.335,1.20731234,9.457799751544371E-5,6.049851072020829E-5,0.0028859961312264204,0
2458192.0,771.858,1.20094,9.869828500086442E-5,6.011806908645667E-5,0.0028708050958812237,0
2458192.0,774.378,1.19455461,9.954458801075816E-5,5.9775342378998175E-5,0.0028553782030940056,0
2458192.0,776.910,1.18789051,9.44626735872589E-5,5.953457366558723E-5,0.0028394577093422413,0
2458192.0,779.468,1.18136142,9.60036413744092E-5,5.94364209973719E-5,0.002823486225679517,0
2458192.0,782.030,1.17488678,1.0099496284965426E-4,5.930131010245532E-5,0.002807910554111004,0
2458192.0,784.611,1.16816171,1.1025262938346714E-4,5.88394032092765E-5,0.00279246480204165,0
2458192.0,787.224,1.1611238,1.149243616964668E-4,5.83691980864387E-5,0.0027758448850363493,0
2458192.0,789.841,1.15373166,1.1456292122602463E-4,5.793606032966636E-5,0.00275821634568274,0
2458192.0,792.476,1.14622671,1.2200478522572666E-4,5.7492110499879345E-5,0.0027401028200984,0
2458192.0,795.111,1.13880759,1.2870109640061855E-4,5.717297608498484E-5,0.0027224617078900337,0
2458192.0,797.794,1.13164251,1.2826293823309243E-4,5.714872168027796E-5,0.00270502595230937,0
2458192.0,800.478,1.12420198,1.3033645518589765E-4,5.7176683185389265E-5,0.0026871184818446636,0
2458192.0,803.186,1.11658159,1.342946052318439E-4,5.7212422689190134E-5,0.0026689954102039337,0
2458192.0,805.903,1.10906505,1.3375937123782933E-4,5.7170880609191954E-5,0.0026512916665524244,0
2458192.0,808.636,1.1017354,1.3625729479826987E-4,5.6895569287007675E-5,0.0026338822208344936,0
2458192.0,811.391,1.09450075,1.446173118893057E-4,5.639482333208434E-5,0.0026165121234953403,0
2458192.0,814.156,1.08717903,1.5002474538050592E-4,5.647624857374467E-5,0.0025989036075770855,0
2458192.0,816.936,1.07968855,1.539676304673776E-4,5.6447097449563444E-5,0.002580965869128704,0
2458192.0,819.733,1.07210848,1.5720230294391513E-4,5.507675450644456E-5,0.0025629245210438967,0
2458192.0,822.559,1.0648217,1.6074354061856866E-4,5.416323620011099E-5,0.0025456517469137907,0
2458192.0,825.404,1.05782818,1.6460707411170006E-4,5.397843415266834E-5,0.0025288688484579325,0
2458192.0,828.262,1.05072668,1.6854181012604386E-4,5.4038850066717714E-5,0.0025116042234003544,0
2458192.0,831.132,1.04292626,1.7320738697890192E-4,5.397573477239348E-5,0.002492365427315235,0
2458192.0,834.019,1.03380491,1.8046071636490524E-4,5.3563569963444024E-5,0.0024711766745895147,0
2458192.0,836.930,1.02493545,1.855751615948975E-4,5.3186497098067775E-5,0.002450196770951152,0
2458192.0,839.847,1.01631642,1.891889696707949E-4,5.2817307732766494E-5,0.002429489279165864,0
2458192.0,842.813,1.00756451,1.9739673007279634E-4,5.212196629145183E-5,0.0024079971481114626,0
2458192.0,845.766,0.997564291,2.050385228358209E-4,5.149455682840198E-5,0.0023845552932471037,0
2458192.0,848.736,0.987535025,2.1132185065653175E-4,5.112976941745728E-5,0.0023600284475833178,0
2458192.0,851.737,0.978014122,2.1537441352847964E-4,5.10172285430599E-5,0.002337671583518386,0
2458192.0,854.727,0.969882297,2.1891834330745041E-4,5.1089937187498435E-5,0.0023185373283922672,0
2458192.0,857.779,0.96310458,2.254949213238433E-4,5.134750608704053E-5,0.002301969099789858,0
2458192.0,860.815,0.957101769,2.3072678595781326E-4,5.149434582563117E-5,0.0022871834225952625,0
2458192.0,863.886,0.950986524,2.3435802722815424E-4,5.1492752390913665E-5,0.0022735577076673508,0
2458192.0,866.958,0.945646613,2.4044483143370599E-4,5.160913860891014E-5,0.002261040499433875,0
2458192.0,870.053,0.941548143,2.467153244651854E-4,5.193689503357746E-5,0.0022509025875478983,0
2458192.0,873.182,0.938355373,2.509581681806594E-4,5.262451304588467E-5,0.0022429542150348425,0
2458192.0,876.309,0.93513129,2.566660987213254E-4,5.337047696230002E-5,0.0022349630016833544,0
2458192.0,879.460,0.931110349,2.6356393937021494E-4,5.4135281970957294E-5,0.0022257070522755384,0
2458192.0,882.631,0.926721008,2.745813981164247E-4,5.5057946156011894E-5,0.0022146888077259064,0
2458192.0,885.810,0.921781813,2.848426520358771E-4,5.6063730880850926E-5,0.0022031734697520733,0
2458192.0,889.010,0.916811867,2.931057824753225E-4,5.7298158935736865E-5,0.002191476756706834,0
2458192.0,892.227,0.911843819,3.0318083008751273E-4,5.9080455685034394E-5,0.00217911577783525,0
2458192.0,895.453,0.905820851,3.142914501950145E-4,6.124817446107045E-5,0.002165224403142929,0
2458192.0,898.716,0.89917934,3.3170657115988433E-4,6.392766226781532E-5,0.002149392617866397,0
2458192.0,901.977,0.892322496,3.4772613435052335E-4,6.557740562129766E-5,0.0021329105366021395,0
2458192.0,905.266,0.885304344,3.619208000600338E-4,6.60665609757416E-5,0.0021163488272577524,0
2458192.0,908.565,0.8785424,3.7217134376987815E-4,6.677980127278715E-5,0.002100301207974553,0
2458192.0,911.876,0.871848789,3.82262805942446E-4,6.841454160166904E-5,0.0020843760576099157,0
2458192.0,915.203,0.865318711,3.958940214943141E-4,7.185463618952781E-5,0.002068157074972987,0
2458192.0,918.563,0.858397928,4.1213457006961107E-4,7.370943058049306E-5,0.0020511948969215155,0
2458192.0,921.948,0.851376261,4.303310124669224E-4,7.550291047664359E-5,0.002034575678408146,0
2458192.0,925.310,0.844830816,4.497612244449556E-4,8.383434760617092E-5,0.002019699662923813,0
2458192.0,928.711,0.838974441,4.633332137018442E-4,8.971937495516613E-5,0.002005317248404026,0
2458192.0,932.122,0.832867009,4.69414604594931E-4,9.115754801314324E-5,0.0019908780232071877,0
2458192.0,935.564,0.82688597,4.843367787543684E-4,9.134007268585265E-5,0.0019760432187467813,0
2458192.0,939.008,0.820800954,5.019636591896415E-4,8.976770914159715E-5,0.001961266389116645,0
2458192.0,942.466,0.814763356,5.21044887136668E-4,8.424346015090123E-5,0.0019469093531370163,0
2458192.0,945.954,0.808766968,5.402477690950036E-4,7.829654350643978E-5,0.0019332858501002192,0
2458192.0,949.435,0.803362474,5.593622336164117E-4,7.248485053423792E-5,0.0019201834220439196,0
2458192.0,951.043,0.801198895,4.789349331986159E-4,6.985822255956009E-5,0.0019147711573168635,0
2458192.0,954.553,0.795420537,4.08003106713295E-4,6.410054629668593E-5,0.0019011088879778981,0
2458192.0,958.053,0.78978377,3.383250441402197E-4,5.844288534717634E-5,0.0018877658294513822,0
2458192.0,961.603,0.78434371,2.687655796762556E-4,5.278466778690927E-5,0.0018747681751847267,0
2458192.0,965.166,0.779105347,2.0035933994222432E-4,4.727724444819614E-5,0.0018623301293700933,0
2458192.0,968.752,0.77402904,1.4661267050541937E-4,4.2551102524157614E-5,0.0018502866150811315,0
2458192.0,972.331,0.769037872,1.0917411418631673E-4,3.888176433974877E-5,0.0018383893184363842,0
2458192.0,975.936,0.763788582,9.449854405829683E-5,3.689170262077823E-5,0.0018259824719280005,0
2458192.0,979.554,0.758299045,8.762626384850591E-5,3.585260856198147E-5,0.001813155715353787,0
2458192.0,983.177,0.752852717,9.02458414202556E-5,3.592486245906912E-5,0.0018000967102125287,0
2458192.0,986.831,0.747352309,9.093491826206446E-5,3.5749326343648136E-5,0.0017868330469354987,0
2458192.0,990.500,0.741714455,8.987015462480485E-5,3.5296674468554556E-5,0.0017734079156070948,0
2458192.0,994.166,0.736102276,8.875646744854748E-5,3.482111787889153E-5,0.001759813749231398,0
2458192.0,997.858,0.730375094,8.764530502958223E-5,3.4343865991104394E-5,0.0017460605595260859,0
2458192.0,1001.575,0.724613957,8.652583346702158E-5,3.386646494618617E-5,0.0017323051579296589,0
2458192.0,1005.277,0.719014957,8.544261800125241E-5,3.3400861866539344E-5,0.0017189952777698636,0
2458192.0,1009.016,0.713580503,8.437882934231311E-5,3.2944881240837276E-5,0.0017061954131349921,0
2458192.0,1012.759,0.708396581,8.334668382303789E-5,3.2500964152859524E-5,0.0016933903098106384,0
2458192.0,1016.498,0.703281452,8.233139669755474E-5,3.2063748221844435E-5,0.001680774032138288,0
2458192.0,1020.256,0.698073675,8.131476351991296E-5,3.162603024975397E-5,0.0016681365668773651,0
2458192.0,1024.038,0.692781628,8.028726006159559E-5,3.118611857644282E-5,0.0016554100438952446,0
2458192.0,1027.827,0.687463485,7.926076068542898E-5,3.074697815463878E-5,0.0016427404480054975,0
2458192.0,1031.641,0.682023939,7.82238639658317E-5,3.030502557521686E-5,0.0016298413975164294,0
